Country,Region,Year,Value
Portugal,Alentejo (NUTS 2021),2008,108.0
Portugal,Alentejo (NUTS 2021),2009,103.0
Portugal,Alentejo (NUTS 2021),2010,105.6
Portugal,Alentejo (NUTS 2021),2011,103.8
Portugal,Alentejo (NUTS 2021),2012,98.0
Portugal,Alentejo (NUTS 2021),2013,96.0
Portugal,Alentejo (NUTS 2021),2014,96.8
Portugal,Alentejo (NUTS 2021),2015,100.0
Portugal,Alentejo (NUTS 2021),2016,99.5
Portugal,Alentejo (NUTS 2021),2017,102.4
Portugal,Alentejo (NUTS 2021),2018,103.3
Portugal,Alentejo (NUTS 2021),2019,103.8
Portugal,Alentejo (NUTS 2021),2020,94.8
Portugal,Alentejo (NUTS 2021),2021,101.3
Portugal,Alentejo (NUTS 2021),2022,106.0
Portugal,Região Autónoma dos Açores,2000,85.6
Portugal,Região Autónoma dos Açores,2001,90.2
Portugal,Região Autónoma dos Açores,2002,93.3
Portugal,Região Autónoma dos Açores,2003,93.0
Portugal,Região Autónoma dos Açores,2004,94.4
Portugal,Região Autónoma dos Açores,2005,96.3
Portugal,Região Autónoma dos Açores,2006,98.3
Portugal,Região Autónoma dos Açores,2007,100.6
Portugal,Região Autónoma dos Açores,2008,103.3
Portugal,Região Autónoma dos Açores,2009,101.0
Portugal,Região Autónoma dos Açores,2010,102.6
Portugal,Região Autónoma dos Açores,2011,100.8
Portugal,Região Autónoma dos Açores,2012,97.1
Portugal,Região Autónoma dos Açores,2013,96.3
Portugal,Região Autónoma dos Açores,2014,96.8
Portugal,Região Autónoma dos Açores,2015,100.0
Portugal,Região Autónoma dos Açores,2016,103.0
Portugal,Região Autónoma dos Açores,2017,104.8
Portugal,Região Autónoma dos Açores,2018,106.9
Portugal,Região Autónoma dos Açores,2019,109.6
Portugal,Região Autónoma dos Açores,2020,99.6
Portugal,Região Autónoma dos Açores,2021,107.0
Portugal,Região Autónoma dos Açores,2022,114.3
Portugal,Região Autónoma dos Açores,2000,85.6
Portugal,Região Autónoma dos Açores,2001,90.2
Portugal,Região Autónoma dos Açores,2002,93.3
Portugal,Região Autónoma dos Açores,2003,93.0
Portugal,Região Autónoma dos Açores,2004,94.4
Portugal,Região Autónoma dos Açores,2005,96.3
Portugal,Região Autónoma dos Açores,2006,98.3
Portugal,Região Autónoma dos Açores,2007,100.6
Portugal,Região Autónoma dos Açores,2008,103.3
Portugal,Região Autónoma dos Açores,2009,101.0
Portugal,Região Autónoma dos Açores,2010,102.6
Portugal,Região Autónoma dos Açores,2011,100.8
Portugal,Região Autónoma dos Açores,2012,97.1
Portugal,Região Autónoma dos Açores,2013,96.3
Portugal,Região Autónoma dos Açores,2014,96.8
Portugal,Região Autónoma dos Açores,2015,100.0
Portugal,Região Autónoma dos Açores,2016,103.0
Portugal,Região Autónoma dos Açores,2017,104.8
Portugal,Região Autónoma dos Açores,2018,106.9
Portugal,Região Autónoma dos Açores,2019,109.6
Portugal,Região Autónoma dos Açores,2020,99.6
Portugal,Região Autónoma dos Açores,2021,107.0
Portugal,Região Autónoma dos Açores,2022,114.3
Portugal,Região Autónoma da Madeira,2000,89.1
Portugal,Região Autónoma da Madeira,2001,88.9
Portugal,Região Autónoma da Madeira,2002,96.3
Portugal,Região Autónoma da Madeira,2003,96.8
Portugal,Região Autónoma da Madeira,2004,102.3
Portugal,Região Autónoma da Madeira,2005,105.0
Portugal,Região Autónoma da Madeira,2006,107.5
Portugal,Região Autónoma da Madeira,2007,108.8
Portugal,Região Autónoma da Madeira,2008,110.0
Portugal,Região Autónoma da Madeira,2009,105.9
Portugal,Região Autónoma da Madeira,2010,107.2
Portugal,Região Autónoma da Madeira,2011,107.1
Portugal,Região Autónoma da Madeira,2012,98.9
Portugal,Região Autónoma da Madeira,2013,97.7
Portugal,Região Autónoma da Madeira,2014,98.7
Portugal,Região Autónoma da Madeira,2015,100.0
Portugal,Região Autónoma da Madeira,2016,102.1
Portugal,Região Autónoma da Madeira,2017,107.3
Portugal,Região Autónoma da Madeira,2018,108.8
Portugal,Região Autónoma da Madeira,2019,110.7
Portugal,Região Autónoma da Madeira,2020,93.7
Portugal,Região Autónoma da Madeira,2021,102.3
Portugal,Região Autónoma da Madeira,2022,116.8
Portugal,Região Autónoma da Madeira,2000,89.1
Portugal,Região Autónoma da Madeira,2001,88.9
Portugal,Região Autónoma da Madeira,2002,96.3
Portugal,Região Autónoma da Madeira,2003,96.8
Portugal,Região Autónoma da Madeira,2004,102.3
Portugal,Região Autónoma da Madeira,2005,105.0
Portugal,Região Autónoma da Madeira,2006,107.5
Portugal,Região Autónoma da Madeira,2007,108.8
Portugal,Região Autónoma da Madeira,2008,110.0
Portugal,Região Autónoma da Madeira,2009,105.9
Portugal,Região Autónoma da Madeira,2010,107.2
Portugal,Região Autónoma da Madeira,2011,107.1
Portugal,Região Autónoma da Madeira,2012,98.9
Portugal,Região Autónoma da Madeira,2013,97.7
Portugal,Região Autónoma da Madeira,2014,98.7
Portugal,Região Autónoma da Madeira,2015,100.0
Portugal,Região Autónoma da Madeira,2016,102.1
Portugal,Região Autónoma da Madeira,2017,107.3
Portugal,Região Autónoma da Madeira,2018,108.8
Portugal,Região Autónoma da Madeira,2019,110.7
Portugal,Região Autónoma da Madeira,2020,93.7
Portugal,Região Autónoma da Madeira,2021,102.3
Portugal,Região Autónoma da Madeira,2022,116.8
Portugal,Extra-Regio NUTS 1,2000,269.0
Portugal,Extra-Regio NUTS 1,2001,216.1
Portugal,Extra-Regio NUTS 1,2002,167.3
Portugal,Extra-Regio NUTS 1,2003,126.6
Portugal,Extra-Regio NUTS 1,2004,103.6
Portugal,Extra-Regio NUTS 1,2005,78.8
Portugal,Extra-Regio NUTS 1,2006,64.3
Portugal,Extra-Regio NUTS 1,2007,47.8
Portugal,Extra-Regio NUTS 1,2008,40.3
Portugal,Extra-Regio NUTS 1,2009,123.1
Portugal,Extra-Regio NUTS 1,2010,122.4
Portugal,Extra-Regio NUTS 1,2011,111.2
Portugal,Extra-Regio NUTS 1,2012,86.1
Portugal,Extra-Regio NUTS 1,2013,91.8
Portugal,Extra-Regio NUTS 1,2014,83.6
Portugal,Extra-Regio NUTS 1,2015,100.0
Portugal,Extra-Regio NUTS 1,2016,91.7
Portugal,Extra-Regio NUTS 1,2017,94.9
Portugal,Extra-Regio NUTS 1,2018,89.6
Portugal,Extra-Regio NUTS 1,2019,92.9
Portugal,Extra-Regio NUTS 1,2020,85.8
Portugal,Extra-Regio NUTS 1,2021,83.6
Portugal,Extra-Regio NUTS 1,2022,86.3
Portugal,Extra-Regio NUTS 2,2000,269.0
Portugal,Extra-Regio NUTS 2,2001,216.1
Portugal,Extra-Regio NUTS 2,2002,167.3
Portugal,Extra-Regio NUTS 2,2003,126.6
Portugal,Extra-Regio NUTS 2,2004,103.6
Portugal,Extra-Regio NUTS 2,2005,78.8
Portugal,Extra-Regio NUTS 2,2006,64.3
Portugal,Extra-Regio NUTS 2,2007,47.8
Portugal,Extra-Regio NUTS 2,2008,40.3
Portugal,Extra-Regio NUTS 2,2009,123.1
Portugal,Extra-Regio NUTS 2,2010,122.4
Portugal,Extra-Regio NUTS 2,2011,111.2
Portugal,Extra-Regio NUTS 2,2012,86.1
Portugal,Extra-Regio NUTS 2,2013,91.8
Portugal,Extra-Regio NUTS 2,2014,83.6
Portugal,Extra-Regio NUTS 2,2015,100.0
Portugal,Extra-Regio NUTS 2,2016,91.7
Portugal,Extra-Regio NUTS 2,2017,94.9
Portugal,Extra-Regio NUTS 2,2018,89.6
Portugal,Extra-Regio NUTS 2,2019,92.9
Portugal,Extra-Regio NUTS 2,2020,85.8
Portugal,Extra-Regio NUTS 2,2021,83.6
Portugal,Extra-Regio NUTS 2,2022,86.3
